id;number;brand;model;serial_number;purchase_date;warant_date;comments;status
1;oof come though;tabletop;upliftingly;following;2024-11-10T02:36:27;2024-11-09T12:18:42;modulo psst inasmuch;NOT_WORKING
2;eek mortally except;ha er meal;curly;inside;2024-11-10T05:45:57;2024-11-10T00:03:48;beyond chatter castanet;NEW
3;yum grade;lanky equally stuff;yum allegation;vice;2024-11-10T07:48:01;2024-11-09T11:53:51;opera a mmm;SOLD
4;quinoa;hello supposing on;mantua;hence but;2024-11-10T01:23:53;2024-11-10T05:16:09;slowly wherever;NEW
5;taut towards;to;inside;doubtfully grouper;2024-11-09T11:56:48;2024-11-09T23:43:20;sway;IN_USE
6;atop;plus than gadzooks;inure fen tray;now foolishly apud;2024-11-10T07:51:12;2024-11-09T22:34:31;happily;NOT_WORKING
7;tributary mmm;nor phony selfishly;sign;ouch testify times;2024-11-10T07:55:31;2024-11-10T02:05:14;mutate straw out;SOLD
8;guide worriedly;ick eek;scented;aboard excepting;2024-11-10T07:54:40;2024-11-10T04:15:13;anenst if blah;NOT_WORKING
9;jacket;yahoo;amidst;ha atop tangible;2024-11-10T00:40:45;2024-11-10T01:59:33;unlike abaft;SOLD
10;very;satirize yippee after;premier;but during;2024-11-10T05:39:47;2024-11-10T02:58:41;once wonderfully what;NOT_WORKING
